time,value_temp,value_hum,value_acid,value_PV
2023-06-25T14:55:39Z,24.1,3.0,3.5,0.8
2023-06-25T15:27:55Z,25.0,83.0,3.3,1.9
2023-06-25T15:40:00Z,25.0,85.0,3.3,1.7
2023-06-25T15:53:23Z,25.1,77.0,3.3,1.5
2023-06-25T16:03:27Z,25.0,85.0,3.3,1.7
2023-06-25T16:16:50Z,24.7,86.0,3.3,1.6
2023-06-25T16:26:53Z,24.6,87.0,3.3,2.8
2023-06-25T16:40:17Z,23.9,80.0,3.3,1.7
2023-06-25T16:53:40Z,24.0,85.0,3.3,2.5
2023-06-25T17:03:44Z,24.2,81.0,3.3,4.1
2023-06-25T17:17:07Z,25.6,77.0,3.2,4.1
2023-06-25T17:27:11Z,24.5,80.0,3.2,1.4
2023-06-25T17:40:34Z,23.3,84.0,3.3,1.4
2023-06-25T17:50:38Z,23.5,78.0,3.2,1.4
2023-06-25T18:04:01Z,23.6,86.0,3.2,1.3
2023-06-25T18:17:25Z,23.6,84.0,3.2,1.1
2023-06-25T18:27:28Z,23.7,82.0,3.2,1.3
2023-06-25T18:40:52Z,23.8,77.0,3.2,1.3
2023-06-25T18:50:55Z,23.8,80.0,3.2,1.1
2023-06-25T19:04:19Z,23.8,81.0,3.2,1.0
2023-06-25T19:17:44Z,23.8,84.0,3.3,0.9
2023-06-25T19:27:47Z,23.8,83.0,3.2,0.6
2023-06-25T19:41:11Z,23.8,98.0,3.2,0.7
2023-06-25T19:51:14Z,23.7,84.0,3.3,0.6
2023-06-25T20:04:38Z,23.7,78.0,3.2,0.6
2023-06-25T20:18:01Z,23.7,94.0,3.2,0.6
2023-06-25T20:28:05Z,23.6,84.0,3.2,0.6
2023-06-25T20:41:28Z,23.6,78.0,3.2,0.6
2023-06-25T20:51:32Z,23.6,80.0,3.2,0.6
2023-06-25T21:04:55Z,23.6,81.0,3.2,0.6
2023-06-25T21:14:58Z,23.6,80.0,3.2,0.6
2023-06-25T21:28:22Z,23.6,79.0,3.2,0.6
2023-06-25T21:41:45Z,23.6,83.0,3.2,0.4
2023-06-25T21:51:49Z,23.0,93.0,3.3,0.6
2023-06-25T22:05:12Z,23.0,96.0,3.3,0.4
2023-06-25T22:15:16Z,23.0,78.0,3.3,0.6
2023-06-25T22:28:39Z,23.0,79.0,3.3,0.6
2023-06-25T22:42:02Z,23.0,78.0,3.3,0.6
2023-06-25T22:52:06Z,23.0,77.0,3.3,0.6
2023-06-25T23:05:29Z,23.0,80.0,3.3,0.6
2023-06-25T23:15:33Z,23.0,78.0,3.2,0.6
2023-06-25T23:28:56Z,23.0,81.0,3.2,0.6
2023-06-25T23:39:00Z,23.0,81.0,3.3,0.6
2023-06-25T23:52:24Z,23.0,95.0,3.2,0.6
2023-06-26T00:05:47Z,23.0,80.0,3.2,0.6
2023-06-26T00:15:50Z,23.0,84.0,3.3,0.6
2023-06-26T00:29:14Z,23.0,77.0,3.3,0.6
2023-06-26T00:39:18Z,23.0,84.0,3.3,0.6
2023-06-26T00:52:41Z,23.0,79.0,3.3,0.6
2023-06-26T01:06:05Z,23.0,77.0,3.2,0.6
2023-06-26T01:16:10Z,22.9,85.0,3.3,0.6
2023-06-26T01:29:33Z,22.9,81.0,3.2,0.6
2023-06-26T01:39:37Z,22.9,80.0,3.3,0.6
2023-06-26T01:53:00Z,22.9,77.0,3.3,0.6
2023-06-26T02:03:04Z,22.9,84.0,3.2,0.6
2023-06-26T02:16:27Z,22.8,81.0,3.3,0.6
2023-06-26T02:29:51Z,22.8,83.0,3.3,0.6
2023-06-26T02:39:54Z,22.8,78.0,3.2,0.6
2023-06-26T02:53:18Z,22.8,81.0,3.3,0.6
2023-06-26T03:03:21Z,22.8,85.0,3.3,0.4
2023-06-26T03:16:45Z,22.8,86.0,3.3,0.6
2023-06-26T03:30:08Z,22.8,83.0,3.3,0.4
2023-06-26T03:40:12Z,22.8,78.0,3.3,1.3
2023-06-26T03:53:36Z,22.8,77.0,3.2,1.3
2023-06-26T04:03:39Z,22.8,77.0,3.3,1.3
2023-06-26T04:17:03Z,22.8,80.0,3.3,1.2
2023-06-26T04:30:26Z,22.8,78.0,3.3,1.4
2023-06-26T04:40:30Z,22.8,83.0,3.3,1.4
2023-06-26T04:53:53Z,22.9,76.0,3.3,1.4
2023-06-26T05:03:57Z,23.0,83.0,3.3,1.4
2023-06-26T05:17:20Z,23.0,82.0,3.3,1.4
2023-06-26T05:27:24Z,23.1,80.0,3.2,1.5
2023-06-26T05:40:47Z,23.1,80.0,3.2,1.5
2023-06-26T05:54:11Z,23.1,81.0,3.3,1.5
2023-06-26T06:04:15Z,23.2,80.0,3.3,1.5
2023-06-26T06:17:38Z,23.3,84.0,3.3,1.5
2023-06-26T06:27:41Z,23.4,77.0,3.3,1.6
2023-06-26T08:02:18Z,23.4,78.0,3.2,1.6
2023-06-26T08:14:34Z,23.6,80.0,3.2,1.7
2023-06-26T08:26:40Z,24.1,85.0,3.2,1.5
2023-06-26T08:40:03Z,24.5,76.0,3.2,1.7
2023-06-26T08:50:06Z,24.7,86.0,3.2,1.7
2023-06-26T09:03:30Z,24.8,85.0,3.2,1.7
2023-06-26T09:13:33Z,24.5,79.0,3.2,1.7
2023-06-26T09:34:56Z,24.5,89.0,3.2,0.6
2023-06-26T09:47:01Z,24.3,80.0,3.2,0.6
2023-06-26T10:00:24Z,24.1,84.0,3.2,0.4
2023-06-26T10:20:21Z,24.1,96.0,3.2,0.6
2023-06-26T10:33:45Z,22.9,80.0,3.2,0.6
2023-06-26T14:00:42Z,24.2,69.0,8.8,3.9
2023-06-26T14:15:23Z,23.5,77.0,8.3,3.5
2023-06-26T14:23:31Z,23.4,82.0,8.1,2.7
2023-06-26T14:29:00Z,23.3,74.0,8.5,2.6
2023-06-26T14:45:12Z,23.2,77.0,8.3,2.1
2023-06-26T14:55:02Z,23.3,73.0,8.5,2.4
2023-06-26T15:05:02Z,23.4,83.0,3.2,2.4
2023-06-26T15:18:22Z,23.3,81.0,3.2,2.8
2023-06-26T15:28:22Z,23.4,80.0,3.2,2.9
2023-06-26T15:38:22Z,23.1,80.0,3.2,2.9
2023-06-26T15:51:42Z,23.1,81.0,3.2,3.3
2023-06-26T16:01:41Z,23.1,85.0,3.3,2.8
2023-06-26T16:11:41Z,23.2,82.0,3.2,2.8
2023-06-26T16:25:01Z,23.2,83.0,3.2,3.5
2023-06-26T16:35:01Z,23.3,82.0,3.2,3.4
2023-06-26T16:45:01Z,23.3,80.0,3.3,3.1
2023-06-26T16:55:01Z,23.3,81.0,3.2,3.2
2023-06-26T17:08:21Z,23.3,80.0,3.2,3.7
2023-06-26T17:18:21Z,23.3,81.0,3.2,3.6
