time,value_temp,value_hum,value_acid,value_PV
2023-04-04T19:04:06Z,15.6423645,27.395578,8.355717,3.1253772
2023-04-04T19:14:06Z,13.215249,28.193783,6.2965584,3.0903914
2023-04-04T19:24:06Z,15.906242,17.870888,8.118516,2.6327243
2023-04-04T19:34:06Z,14.345216,2.446002,7.966973,2.728611
2023-04-04T19:44:06Z,14.135455,25.553032,8.182097,3.1751907
2023-04-04T19:54:06Z,16.533838,26.076954,9.060064,2.9081442
2023-04-04T20:04:06Z,14.294765,7.0126357,7.6352296,2.5587525
2023-04-04T20:14:06Z,14.113984,23.476645,7.1476603,2.735486
2023-04-04T20:24:06Z,15.781191,16.933067,7.5209413,2.7015812
2023-04-04T20:34:06Z,14.369493,24.50644,6.3392572,2.5748146
2023-04-04T20:44:06Z,14.845792,12.254839,7.7819552,2.8767993
2023-04-04T20:54:06Z,14.703981,32.131073,7.9490447,2.720307
2023-04-04T21:04:06Z,14.731127,2.993756,8.053024,2.6580145
2023-04-04T21:14:06Z,19.247274,54.186447,9.97174,4.033434
2023-04-04T21:24:06Z,14.786162,39.537724,7.118678,3.0226834
2023-04-04T21:34:06Z,17.566214,28.138746,8.662207,3.336746
2023-04-04T21:44:06Z,17.137714,39.38118,8.875,3.4788644
2023-04-04T21:54:06Z,16.114695,11.230779,9.223882,2.946048
2023-04-04T22:04:06Z,17.36703,47.68073,8.548153,3.9487598
2023-04-04T22:14:06Z,14.374561,27.65595,7.6990395,2.8409612
2023-04-04T22:24:06Z,15.799203,29.670732,7.7793827,2.9476998
2023-04-04T22:34:06Z,14.7642565,22.96146,8.196018,2.88883
2023-04-04T22:44:06Z,15.288371,35.163094,8.110257,2.9104807
2023-04-04T22:54:06Z,16.781675,35.722633,8.161172,3.2407973
2023-04-04T23:04:06Z,15.579213,37.057728,8.641542,3.647323
2023-04-04T23:14:06Z,14.651316,13.818176,8.346432,2.7811885
2023-04-04T23:24:06Z,13.624587,29.029325,7.3016396,2.8158607
2023-04-04T23:34:06Z,16.581076,54.009453,8.9941,3.8602874
2023-04-04T23:44:06Z,15.109188,16.332212,6.8315783,2.606839
2023-04-04T23:54:06Z,14.980641,14.729261,7.1507707,2.563756
2023-04-05T00:04:06Z,16.554024,38.627777,9.201848,3.229272
2023-04-05T00:14:06Z,17.343086,9.905224,8.505967,2.354703
2023-04-05T00:24:06Z,14.100413,37.86081,7.539431,2.9557338
2023-04-05T00:34:06Z,13.673388,10.985436,8.193319,3.4704623
2023-04-05T00:44:06Z,15.639225,54.136852,7.852036,3.412984
2023-04-05T00:54:06Z,12.993325,25.490185,8.664126,3.8400824
2023-04-05T01:04:06Z,13.954999,9.943006,6.819681,2.5750692
2023-04-05T01:14:06Z,16.325577,12.369196,8.335925,2.5491302
2023-04-05T01:24:06Z,15.659028,51.70449,8.8111105,4.8671007
2023-04-05T01:34:06Z,16.705511,23.281342,8.215166,2.9457054
2023-04-05T01:44:06Z,17.433586,30.7292,7.834833,2.847188
2023-04-05T01:54:06Z,14.913955,12.512874,7.7425604,2.6251013
2023-04-05T02:04:06Z,12.162528,18.32452,8.592094,3.1676338
2023-04-05T02:14:06Z,11.926182,49.508446,8.572495,4.1615915
2023-04-05T02:24:06Z,15.152689,44.570454,8.448758,3.460489
2023-04-05T02:34:06Z,14.694269,14.237647,7.910141,3.2357285
2023-04-05T02:44:06Z,16.790283,25.257227,8.423682,3.1553714
2023-04-05T02:54:06Z,15.632482,22.377447,8.1033945,2.884511
2023-04-05T03:04:06Z,16.235386,29.87533,8.224787,3.0361557
2023-04-05T03:14:06Z,14.491839,41.345936,7.9798436,3.1707957
2023-04-05T03:24:06Z,15.5662565,22.944899,8.701858,2.947647
2023-04-05T03:34:06Z,16.086618,35.021683,7.7718577,3.2592726
2023-04-05T03:44:06Z,15.512219,20.587194,6.8912477,2.5650196
2023-04-05T03:54:06Z,16.553041,19.354378,7.9706874,2.6588604
2023-04-05T04:04:06Z,16.170195,27.577785,8.852783,2.8065462
2023-04-05T04:14:06Z,17.603758,47.504303,8.688394,3.9250994
2023-04-05T04:24:06Z,14.481117,25.566307,7.248435,2.769621
2023-04-05T04:34:06Z,16.206694,27.268305,8.205426,2.7254786
2023-04-05T04:44:06Z,16.033937,63.780453,7.758868,4.0686913
2023-04-05T04:54:06Z,16.17852,27.259943,8.20176,2.9524295
2023-04-05T05:04:06Z,15.943435,14.187493,8.136506,2.8037856
2023-04-05T05:14:06Z,16.437092,31.129457,8.140559,2.935769
2023-04-05T05:24:06Z,17.021397,34.67994,8.610899,3.1934183
2023-04-05T05:34:06Z,16.115915,18.709856,8.153793,2.648915
2023-04-05T05:44:06Z,14.825231,30.11765,9.683798,3.7495737
2023-04-05T05:54:06Z,15.360168,21.948078,7.168242,2.621785
2023-04-05T06:04:06Z,17.475239,27.165785,8.732581,3.0560713
2023-04-05T06:14:06Z,14.593491,23.760918,7.1049256,2.7689729
2023-04-05T06:24:06Z,13.6927185,34.349014,7.4114833,3.2175055
2023-04-05T06:34:06Z,15.512261,29.641453,9.121907,3.2467382
2023-04-05T06:44:06Z,15.750046,38.100803,8.390743,3.5886776
2023-04-05T06:54:06Z,16.812208,33.105125,8.641719,2.7776868
2023-04-05T07:04:06Z,17.19534,47.596287,8.377367,3.5486815
2023-04-05T07:14:06Z,14.260313,25.503025,6.822736,2.6714134
2023-04-05T07:24:06Z,16.36786,7.0527577,8.599958,2.4768536
2023-04-05T07:34:06Z,14.045585,14.905294,7.9053373,2.6510272
2023-04-05T07:44:06Z,16.353502,16.72515,8.597641,2.6415558
2023-04-05T07:54:06Z,14.022545,33.939663,8.603033,2.975108
2023-04-05T08:04:06Z,14.885994,35.122128,8.868282,3.3477983
2023-04-05T08:14:06Z,13.965814,21.319672,7.0874977,2.5526261
2023-04-05T08:24:06Z,14.12859,15.088599,7.852427,2.7787323
2023-04-05T08:34:06Z,16.051418,23.11908,9.070857,2.9759483
