value_temp,value_hum,value_acid,hour,day_of_year,time
0.3167339,0.16249934,5.0,0.30608535,0.9043033,2023-03-25T09:08:14Z
4.2957916,100.32496,6.6977234,0.26918447,0.9114618,2023-03-25T09:18:14Z
0.3043841,0.08139137,5.0,0.40548906,0.8867522,2023-03-25T09:28:14Z
0.30063725,0.13273278,5.0,0.37311175,0.8956218,2023-03-25T09:38:14Z
0.2655373,0.14378592,5.0,0.3731951,0.8763046,2023-03-25T09:48:14Z
0.2629515,0.17975901,5.0,0.34532553,0.8867464,2023-03-25T09:58:14Z
0.32563522,0.1393204,5.0,0.36385608,0.90082467,2023-03-25T10:08:14Z
0.29588124,0.11599679,5.0,0.40520066,0.89583886,2023-03-25T10:18:14Z
0.3216264,0.12665881,5.0,0.37994346,0.8839091,2023-03-25T10:28:14Z
0.28705436,0.10459121,5.0,0.42421794,0.8907755,2023-03-25T10:38:14Z
0.2707791,0.20234784,5.0,0.29078788,0.90322566,2023-03-25T10:48:14Z
0.3101457,0.10681275,5.0,0.37047616,0.8890297,2023-03-25T10:58:14Z
0.23303734,0.14291766,5.0,0.31848904,0.8820329,2023-03-25T11:08:14Z
0.27568626,0.16075863,5.0,0.36374345,0.8792707,2023-03-25T11:18:14Z
0.27872995,0.105512165,5.0,0.38357076,0.89245385,2023-03-25T11:28:14Z
0.30758947,0.14603168,5.0,0.33498678,0.89794403,2023-03-25T11:38:14Z
0.29849204,0.11940627,5.0,0.3976869,0.89229935,2023-03-25T11:48:14Z
0.2903455,0.113924675,5.0,0.3569032,0.89788896,2023-03-25T11:58:14Z
0.29923442,0.12780963,5.0,0.35914758,0.8917095,2023-03-25T12:08:14Z
0.2743951,0.17868598,5.0,0.33009115,0.8904307,2023-03-25T12:18:14Z
0.32988244,0.17314708,5.0,0.29623047,0.908067,2023-03-25T12:28:14Z
0.2318209,0.19755168,5.0,0.22264072,0.9067271,2023-03-25T12:38:14Z
0.268398,0.16987194,5.0,0.31037918,0.89879537,2023-03-25T12:48:14Z
1.6833276,112.12336,6.913908,0.45177126,0.8877559,2023-03-25T12:58:14Z
0.2786286,0.20160803,5.0,0.2713739,0.8968524,2023-03-25T13:08:14Z
0.2872836,0.11868369,5.0,0.37473047,0.89152503,2023-03-25T13:18:14Z
0.25864103,0.21932371,5.0,0.20001048,0.9092448,2023-03-25T13:28:14Z
6.750548,109.596504,7.648629,0.3290611,0.8880374,2023-03-25T13:38:14Z
0.2897854,0.2345011,5.0,0.23998296,0.9061286,2023-03-25T13:48:14Z
0.31088436,0.11362308,5.0,0.33184144,0.9006523,2023-03-25T13:58:14Z
0.29383656,0.18911745,5.0,0.3010699,0.8994566,2023-03-25T14:08:14Z
0.31621602,0.21237835,5.0,0.30252847,0.88838744,2023-03-25T14:18:14Z
0.3304812,0.12699902,5.0,0.3984492,0.8966737,2023-03-25T14:28:14Z
0.27920792,0.08819828,5.0,0.39134058,0.89911777,2023-03-25T14:38:14Z
0.27503288,0.13580723,5.0,0.3194711,0.8937942,2023-03-25T14:48:14Z
0.28049976,0.18562841,5.0,0.35772783,0.88820356,2023-03-25T14:58:14Z
0.27188635,0.15208651,5.0,0.3604965,0.8874921,2023-03-25T15:08:14Z
0.2829471,0.089178436,5.0,0.40110624,0.8933047,2023-03-25T15:18:14Z
0.2519996,0.18741049,5.0,0.3737479,0.88840693,2023-03-25T15:28:14Z
0.2927929,0.13120472,5.0,0.3447112,0.8940755,2023-03-25T15:38:14Z
8.200657,107.523605,5.7914386,0.29029617,0.8935688,2023-03-25T15:48:14Z
5.7312884,110.439445,6.43885,0.3268131,0.8981593,2023-03-25T15:58:14Z
0.21441329,0.15488827,5.0,0.31724462,0.90170693,2023-03-25T16:08:14Z
0.30100778,0.15148921,5.0,0.33632922,0.8999143,2023-03-25T16:18:14Z
0.29057044,0.2287186,5.0,0.2677767,0.9060323,2023-03-25T16:28:14Z
0.30028406,0.15317017,5.0,0.36083117,0.9021954,2023-03-25T16:38:14Z
0.31395373,0.10329585,5.0,0.4256743,0.89171445,2023-03-25T16:48:14Z
0.3058208,0.12358936,5.0,0.4028103,0.8903462,2023-03-25T16:58:14Z
0.21053547,0.17319325,5.0,0.25248268,0.90110546,2023-03-25T17:08:14Z
0.3001945,0.08824057,5.0,0.43187037,0.8817562,2023-03-25T17:18:14Z
0.2904673,0.15491101,5.0,0.3000222,0.8989984,2023-03-25T17:28:14Z
0.19154477,0.23650555,5.0,0.1829769,0.9026512,2023-03-25T17:38:14Z
0.22568509,0.19245614,5.0,0.32490486,0.89090633,2023-03-25T17:48:14Z
0.23833436,0.15866938,5.0,0.32420787,0.8923745,2023-03-25T17:58:14Z
9.612863,119.022766,5.7902246,0.26580432,0.899161,2023-03-25T18:08:14Z
0.29341516,0.16178538,5.0,0.29734614,0.89742255,2023-03-25T18:18:14Z
0.32857057,0.15007336,5.0,0.34145412,0.90811336,2023-03-25T18:28:14Z
0.29843652,0.12474903,5.0,0.36087698,0.88675797,2023-03-25T18:38:14Z
0.27119535,0.08238015,5.0,0.40585506,0.89781654,2023-03-25T18:48:14Z
0.30241594,0.13194911,5.0,0.37544024,0.89533097,2023-03-25T18:58:14Z
0.27381277,0.20511334,5.0,0.24796852,0.8999492,2023-03-25T19:08:14Z
0.29913825,0.122071594,5.0,0.3975925,0.895698,2023-03-25T19:18:14Z
0.29505002,0.12211414,5.0,0.36906946,0.88381374,2023-03-25T19:28:14Z
0.30032846,0.13785198,5.0,0.34621513,0.8916315,2023-03-25T19:38:14Z
0.18589222,0.20518887,5.0,0.16229834,0.8989025,2023-03-25T19:48:14Z
0.2998102,0.1790938,5.0,0.29693753,0.8989207,2023-03-25T19:58:14Z
0.27157882,0.17714223,5.0,0.34414038,0.87687874,2023-03-25T20:08:14Z
0.29039487,0.21618491,5.0,0.26545066,0.8949367,2023-03-25T20:18:14Z
0.24970697,0.1785479,5.0,0.29513782,0.88978535,2023-03-25T20:28:14Z
0.25004038,0.17676745,5.0,0.28561968,0.90122193,2023-03-25T20:38:14Z
0.29131806,0.16824889,5.0,0.3868976,0.88691133,2023-03-25T20:48:14Z
0.26254067,0.17643246,5.0,0.28637636,0.8949274,2023-03-25T20:58:14Z
0.26955068,0.14887457,5.0,0.34824806,0.8849788,2023-03-25T21:08:14Z
0.30550468,0.11184276,5.0,0.37335947,0.8932808,2023-03-25T21:18:14Z
0.308752,0.15491402,5.0,0.35373476,0.8942784,2023-03-25T21:28:14Z
0.26795724,0.19571699,5.0,0.3277489,0.89440477,2023-03-25T21:38:14Z
0.28402892,0.12515223,5.0,0.35818514,0.89265454,2023-03-25T21:48:14Z
0.30378112,0.13116279,5.0,0.37243485,0.8916461,2023-03-25T21:58:14Z
0.27290246,0.12869875,5.0,0.37096974,0.8989881,2023-03-25T22:08:14Z
0.2893527,0.096972175,5.0,0.37280828,0.88206774,2023-03-25T22:18:14Z
0.2878518,0.14459091,5.0,0.32675138,0.9015534,2023-03-25T22:28:14Z
0.31609717,0.13048033,5.0,0.34343228,0.8925638,2023-03-25T22:38:14Z
0.2935401,0.1525672,5.0,0.3907094,0.89639866,2023-03-25T22:48:14Z
0.304319,0.25064036,5.0,0.27422023,0.8955303,2023-03-25T22:58:14Z
0.26371413,0.15179965,5.0,0.33433637,0.8995789,2023-03-25T23:08:14Z
0.28410205,0.17877094,5.0,0.32900566,0.9002248,2023-03-25T23:18:14Z
0.28536093,0.106692925,5.0,0.3923713,0.89030164,2023-03-25T23:28:14Z
0.2680189,0.18321158,5.0,0.31077725,0.8952839,2023-03-25T23:38:14Z
0.26834488,0.13593481,5.0,0.38816482,0.8889295,2023-03-25T23:48:14Z
0.31557056,0.14652897,5.0,0.35526454,0.9017943,2023-03-25T23:58:14Z
0.2950216,0.14887393,5.0,0.3920898,0.8955214,2023-03-26T00:08:14Z
0.2190519,0.24955872,5.0,0.20423451,0.8995643,2023-03-26T00:18:14Z
0.30086896,0.11984323,5.0,0.34737992,0.8982737,2023-03-26T00:28:14Z
0.27964962,0.14889409,5.0,0.37258172,0.87350297,2023-03-26T00:38:14Z
0.28266174,0.119333446,5.0,0.3644188,0.89713794,2023-03-26T00:48:14Z
0.28580773,0.16777013,5.0,0.32083663,0.8678339,2023-03-26T00:58:14Z
0.2529807,0.15140301,5.0,0.33621433,0.88503087,2023-03-26T01:08:14Z
0.25886148,0.19294696,5.0,0.33048958,0.8817572,2023-03-26T01:18:14Z
0.29962197,0.1405635,5.0,0.30051726,0.90348417,2023-03-26T01:28:14Z
0.31923667,0.08573097,5.0,0.4241263,0.89722633,2023-03-26T01:38:14Z
0.28328103,0.15410894,5.0,0.39140007,0.8929754,2023-03-26T01:48:14Z
0.29822448,0.12360858,5.0,0.3756385,0.89610064,2023-03-26T01:58:14Z
0.26266345,0.14084743,5.0,0.33892018,0.89480466,2023-03-26T02:08:14Z
0.30209398,0.12072493,5.0,0.33675802,0.90175694,2023-03-26T02:18:14Z
0.2543033,0.2001653,5.0,0.29751727,0.8931555,2023-03-26T02:28:14Z
0.30671594,0.13846497,5.0,0.33845916,0.9001505,2023-03-26T02:38:14Z
0.2513542,0.14187676,5.0,0.34606302,0.88694304,2023-03-26T02:48:14Z
0.2633282,0.22896215,5.0,0.25946736,0.89388233,2023-03-26T02:58:14Z
6.8014326,118.51187,6.8825784,0.25337368,0.8947156,2023-03-26T03:08:14Z
0.2923601,0.102963045,5.0,0.35876843,0.89672714,2023-03-26T03:18:14Z
11.323179,116.719185,6.0856795,0.25862408,0.907039,2023-03-26T03:28:14Z
5.907002,106.48796,9.38275,0.37677032,0.8869584,2023-03-26T03:38:14Z
5.9764743,111.873825,6.550563,0.39305457,0.88481796,2023-03-26T03:48:14Z
0.31556502,0.11232148,5.0,0.37663314,0.891582,2023-03-26T03:58:14Z
0.2126507,0.22301117,5.0,0.19626184,0.9119102,2023-03-26T04:08:14Z
0.27681717,0.1346564,5.0,0.37788522,0.8909643,2023-03-26T04:18:14Z
0.27564317,0.0955972,5.0,0.37010363,0.90321004,2023-03-26T04:28:14Z
6.8231235,103.85183,5.173797,0.28708526,0.90031004,2023-03-26T04:38:14Z
0.2664028,0.1669963,5.0,0.32987988,0.892634,2023-03-26T04:48:14Z
0.31061,0.2077398,5.0,0.31384143,0.89276147,2023-03-26T04:58:14Z
0.30435118,0.12465168,5.0,0.39117727,0.8888,2023-03-26T05:08:14Z
0.26188552,0.16856478,5.0,0.2933104,0.9036656,2023-03-26T05:18:14Z
0.31137648,0.1231455,5.0,0.37610975,0.89596444,2023-03-26T05:28:14Z
0.3414254,0.17353356,5.0,0.34321705,0.9121834,2023-03-26T05:38:14Z
0.24786347,0.17027867,5.0,0.34079897,0.88205653,2023-03-26T05:48:14Z
0.29851666,0.1280572,5.0,0.34516954,0.876288,2023-03-26T05:58:14Z
0.3112575,0.13973588,5.0,0.36739454,0.9011234,2023-03-26T06:08:14Z
