value_temp,value_hum,value_acid
0.12448320071293893,5.041107728761111,3.3658485833089133
0.111258715,0.9099319,3.3047223
0.37734863,-0.23112735,3.3781402
0.1200658,2.2945292,3.3597474
-0.15779059,7.0017953,3.436064
-0.15612425,10.771861,3.4888227
-0.19205303,11.700852,3.5048926
-0.2548056,12.345263,3.46192
-0.16692305,7.970435,3.4911952
-0.17592676,5.222527,3.4415257
0.03501029,4.0452147,3.3724573
0.031527415,3.0012143,3.2914937
0.27179578,4.9387426,3.3360467
0.37232313,6.8848453,3.3736837
0.09535732,7.6396074,3.410053
0.10700193,7.5000224,3.49869
0.38062465,7.3735642,3.4208488
0.34560746,7.674454,3.4081662
0.37214637,5.4900317,3.3527486
0.34251484,6.917804,3.361867
-0.04060526,4.7369223,3.3658638
-0.009341183,1.5049627,3.230335
0.002035729,1.9640962,3.2938461
-0.09622274,4.362219,3.0923102
-0.25331286,7.0402613,3.134276
-0.5396631,11.422989,3.1780999
-0.50255364,12.898302,3.2369936
-0.58038044,14.4409485,3.2582474
-0.6447611,16.05396,3.281244
-0.6418266,15.082069,3.3305678
-0.4323401,14.267762,3.3518674
0.10717707,-0.44943342,3.3182635
-0.051894426,0.4018377,3.352457
-0.078499876,2.6666982,3.3202145
-0.16256137,1.9759657,3.3394883
-0.198882,3.6713743,3.3796153
-0.2896207,5.68816,3.3751552
-0.5627312,10.900286,3.4754372
-0.83949375,14.044364,3.5352569
-0.9036647,16.104675,3.6132205
-0.92804575,15.068887,3.6312504
0.09417069,-0.8109037,3.3491569
0.020625062,-0.3755713,3.3303308
0.129502,-2.011511,3.4356534
0.20285171,-2.8007133,3.4840791
0.1505808,-3.9111264,3.4820232
0.43092394,-4.788899,3.5056195
0.4843545,-3.881951,3.485953
0.50075966,-5.768568,3.4745321
0.4696761,-6.3024144,3.4354775
0.6715491,-3.5243404,3.4053853
-0.052303594,2.1816802,3.2927697
0.3169408,3.467835,3.2626235
0.4700936,5.9682117,3.246903
0.21924737,8.648779,3.2198024
-0.13016751,9.154267,3.2248762
-0.09963031,9.694255,3.2358463
-0.16420028,9.598038,3.272861
0.07099975,7.40126,3.3538642
-0.04738283,8.749068,3.3921416
0.1789441,9.0447035,3.4514153
-0.1844604,0.9052625,3.3128264
-0.14744972,4.96553,3.3087673
0.13011956,5.7109604,3.3363607
0.24554923,6.3359547,3.340323
0.65247154,7.8802752,3.306925
0.9418741,8.2321415,3.3370779
1.0122963,8.782806,3.407161
0.8018099,9.273174,3.4847429
0.6588284,10.219301,3.5148213
0.3868278,10.049723,3.434813
0.020231746,0.30952185,3.3275712
-0.028071353,0.78673816,3.339184
0.06538749,3.170407,3.3380725
0.034390256,9.358883,3.2317498
-0.14680916,13.260572,3.1666174
-0.12575458,17.568672,3.1770797
-0.04025727,16.62104,3.142287
0.008187146,13.919585,3.267803
