value_temp,value_hum,value_acid
-0.31889845544244294,-5.724062787788021,3.31199402017094
-0.19440395,-2.8091285,3.282576
-0.27124116,-4.8126936,3.225445
-0.24721923,-4.9064593,3.2298007
-0.32811055,-7.413696,3.218518
-0.27498204,-9.859742,3.2093332
-0.22666368,-8.093,3.1956801
-0.09800062,-5.4093814,3.2270107
-0.06425126,-5.904465,3.1907067
0.060373943,-4.5569067,3.2350209
-0.17684957,-5.438446,3.307921
-0.10284426,-1.4157943,3.2955894
-0.12785158,-0.609689,3.2594857
-0.11881615,-0.50674796,3.301024
-0.27328366,-2.1737773,3.368832
-0.2020496,-1.9521292,3.4081783
-0.13090892,-4.1649833,3.4195044
-0.12982334,-6.2317767,3.4780996
-0.16870792,-7.9537134,3.454234
-0.14100467,-8.874152,3.4022274
-0.228164,-11.236725,3.37308
-0.10232115,-2.3061078,3.2742822
-0.32836714,-7.448349,3.2576766
-0.3881781,-8.868425,3.312466
-0.44973132,-10.439015,3.3582032
-0.6719043,-9.657272,3.3899965
-0.7609514,-9.213625,3.516763
-0.83229595,-10.440276,3.509872
-0.8288976,-9.451894,3.4813647
-0.76570904,-7.5742164,3.4579318
-0.7397959,-9.9628935,3.3942065
-0.17897673,-1.2156444,3.3419046
-0.15021609,-2.1532102,3.357536
-0.23447917,-3.6499255,3.3072839
-0.22494037,-4.201813,3.3094056
-0.29633397,-5.405101,3.2897775
-0.2944979,-5.8566504,3.2875152
-0.32987443,-6.423328,3.3137343
-0.44226944,-6.6408772,3.314729
-0.5218602,-7.260982,3.2941298
-0.6359386,-7.388546,3.2710295
-0.03651222,0.3994208,3.2880435
-0.0023988914,1.0150379,3.3241901
-0.010940041,1.4079827,3.3612628
-0.017045658,-0.19277556,3.3644192
-0.07032066,-2.872366,3.3612244
-0.26216215,-6.956054,3.3753529
-0.14171298,-12.313276,3.3893614
-0.052250065,-12.902732,3.3561237
-0.15508775,-12.940914,3.3020182
-0.19229643,-14.90855,3.2561827
0.07222253,-4.1984887,3.2556672
0.061350174,-9.523176,3.1307247
0.017594958,-13.380454,3.0275164
-0.14553666,-18.287594,3.0085962
-0.42308608,-16.099672,3.1643195
-0.5811317,-14.151506,3.2917144
-0.749232,-12.008742,3.5032508
-0.824059,-11.477226,3.6185482
-0.7054596,-10.060165,3.5699785
-0.6054596,-9.40384,3.4953566
-0.18456918,-2.005994,3.3091967
-0.05204484,-1.142781,3.382999
-0.18398196,-2.2390394,3.4164238
-0.29424465,-1.4491488,3.3942587
-0.43789485,-1.1331817,3.3778682
-0.7376399,-3.3457282,3.3544106
-0.9563073,-4.7955565,3.4035118
-1.164825,-5.4240522,3.4141555
-1.425701,-6.87911,3.4283538
-1.1542493,-5.707875,3.4872255
-0.06753307,-1.5090624,3.2896218
-0.12905972,-1.9808645,3.3217025
-0.039818402,-1.8709736,3.3790145
-0.061972294,-4.926097,3.334756
-0.14324586,-5.7824244,3.2690642
-0.028472165,-6.4803762,3.1648679
-0.042844992,-7.1517506,3.1897058
0.068428636,-6.781535,3.2161293
0.0113558415,-6.6616755,3.203604
-0.18314363,-7.018903,3.1959434
-0.13613643,-2.9252667,3.2829628
-0.2940683,-3.8804073,3.2892287
-0.4691375,-4.471329,3.3586655
-0.6639017,-4.7528276,3.4259024
-0.5052653,-6.9702826,3.4807596
-0.4113397,-8.024005,3.4825377
-0.43709466,-9.606381,3.4526052
-0.3509578,-9.094791,3.4827814
-0.7739741,-9.633089,3.4691372
-0.67406255,-9.282056,3.4978735
0.041468784,-4.8031797,3.1898503
-0.0058166315,-5.361852,3.1763766
-0.11446772,-4.2186756,3.173858
-0.1041765,-3.3109055,3.2265913
-0.08808049,-4.566322,3.2636542
0.015041051,-6.2442503,3.2847233
0.10204829,-4.4416623,3.2773674
0.15081549,-6.432028,3.2542639
0.08907454,-4.928782,3.2627099
0.042050853,-4.330411,3.2436361
0.025213163,-1.5624446,3.3041153
-0.20848256,-0.78857887,3.3714058
-0.42772594,0.4818347,3.2827988
-0.4840791,-1.1699351,3.336917
-0.5697038,-5.232906,3.4266052
-0.49553445,-8.879714,3.5291443
-0.4392166,-8.543552,3.6694345
-0.5375464,-9.556934,3.697468
-0.6542351,-8.53608,3.7229323
-0.7008543,-6.3227477,3.7615714
-0.1636718,-0.1262806,3.3028939
-0.12095385,0.53523374,3.3257773
-0.4824342,-1.5760175,3.2917013
-0.5705984,-1.6573058,3.3480692
-0.27281597,-1.2853515,3.3734179
-0.23894042,-0.84831303,3.3520947
-0.22177492,-0.3043233,3.3427286
-0.2824971,-0.51319474,3.3061788
-0.42855725,-1.5953857,3.2531013
-0.5844218,-4.404393,3.2774343
0.034586195,-0.9479831,3.3280618
-0.0097473,-0.44503087,3.3112218
0.01849806,-1.1379749,3.3295481
-0.18669288,-2.9887002,3.3280513
-0.44852605,-6.7630568,3.1935647
-0.36138338,-8.579145,3.118038
-0.49744076,-9.469953,3.154257
-0.35503578,-7.523295,3.1948905
-0.2064712,-6.46576,3.236351
-0.20409352,-6.175174,3.2454505
-0.1050993,-1.7795811,3.296848
-0.13042489,-2.3829153,3.2546542
-0.18300667,-3.8582828,3.22916
0.029499672,-2.8762596,3.209735
0.052428097,-1.6857138,3.246951
0.06609662,0.31778976,3.286301
-0.29576424,-1.0585676,3.1725447
-0.25008026,-2.7259574,3.1784985
-0.10407473,-1.4568485,3.1854053
-0.34394914,-3.4095178,3.20376
-0.080067374,-1.4885281,3.2724187
-0.21122862,-4.2557497,3.2739258
-0.4665379,-6.8312764,3.2444975
-0.6329682,-9.216912,3.2605207
-0.73550016,-11.654834,3.3146617
-0.71740866,-10.948596,3.3968108
-0.6924105,-6.203756,3.4449441
-0.7426969,-4.719076,3.4873765
-0.59781885,-2.9241436,3.5108912
-0.44443518,-3.8741155,3.4641705
-0.10684019,-0.76743793,3.2918108
-0.34164333,-4.4802313,3.2622473
-0.4323138,-5.605046,3.2062252
-0.30066398,-6.294301,3.168187
-0.47612724,-8.294788,3.1486254
-0.400093,-6.9587817,3.16122
-0.3221185,-6.9573145,3.2360814
-0.43964064,-6.2880297,3.2617335
-0.5063097,-6.0731926,3.252064
-0.5596052,-8.179633,3.2368393
-0.14851943,-2.683354,3.319251
0.1091332,-1.8231288,3.308984
0.010695026,-1.5852023,3.302139
-0.006078431,-0.23187128,3.3347335
-0.11929001,-0.35225156,3.3573105
-0.10947547,-0.9352079,3.3709445
-0.22149202,-1.5885605,3.3306758
-0.21725857,-2.3309298,3.2900639
-0.49492857,-5.1816664,3.2856467
-0.8618499,-6.478882,3.3219855
0.10815213,-2.040339,3.3634088
0.03985098,-2.2051992,3.448795
-0.057087056,-2.7295659,3.5304806
-0.22002538,-4.402213,3.512008
-0.37844005,-4.8620067,3.511005
-0.6077118,-7.2887745,3.4864159
-0.5546304,-5.1611776,3.5353668
-0.5287986,-3.2009478,3.6145606
-0.54090893,-2.5455573,3.548078
-0.47067565,-2.7560713,3.5076942
0.04510209,-2.0426986,3.3260107
0.012671159,-4.4939847,3.3087494
0.0013295579,-5.38082,3.2812102
0.09150181,-7.7035627,3.3001652
-0.08761807,-9.549046,3.277312
-0.205506,-10.129405,3.2600636
-0.009148022,-12.890178,3.2329757
-0.15258434,-12.578801,3.1512823
-0.12037622,-11.654146,3.1310377
-0.20730186,-11.439251,3.1130035
0.050692488,0.6429573,3.3664017
-0.039864384,1.6463991,3.4095762
-0.06954765,2.324594,3.4053936
0.100666754,3.1168597,3.3856394
-0.17037381,-0.20817788,3.3975203
-0.11302643,-1.3800776,3.3380156
-0.17994587,-7.0602717,3.291497
-0.34339046,-10.898352,3.3210628
-0.54103607,-13.231914,3.375343
-0.7176624,-13.743076,3.4313333
-0.19124646,-3.0183134,3.2667582
0.020872116,-5.4237585,3.3035822
-0.23983191,-8.746534,3.1753793
-0.3228134,-10.915935,3.058187
-0.34234494,-9.685492,3.0603893
-0.23383851,-8.9651165,3.085599
-0.20273958,-11.310454,3.049959
-0.11109401,-11.304169,3.0602827
-0.06143227,-11.976037,3.034968
-0.068527445,-11.607223,3.088308
-0.18244842,-3.7688503,3.2579887
-0.19522868,-5.27889,3.2349637
-0.16182488,-5.250928,3.22809
-0.15217304,-6.9103365,3.2515948
-0.2528184,-8.575973,3.1652799
-0.392913,-10.513636,3.1212392
-0.64257866,-13.958916,3.044475
-0.658223,-14.128851,3.1106174
-0.6653706,-12.901811,3.2563481
-0.6389615,-12.904068,3.2883992
-0.18070973,-0.9485027,3.3067732
-0.1728389,-2.03024,3.3334978
-0.15861844,-1.2363604,3.4088812
-0.118250445,-1.6620659,3.4264157
-0.11310288,-0.55913097,3.432654
-0.26464793,-1.9739008,3.3457305
-0.40179807,-3.4092143,3.3021903
-0.4528854,-5.0141025,3.2535365
-0.51359963,-7.0344152,3.2439082
-0.6420218,-9.104012,3.2829316
-0.03246031,-0.759359,3.3317575
-0.142241,-0.9682217,3.331393
-0.24647754,-0.75934756,3.342535
-0.37552541,0.43373153,3.374234
-0.5169219,2.011057,3.3867097
-0.7398916,0.93230534,3.3539383
-0.6394946,-1.4207008,3.3411434
-0.69873196,-6.455435,3.360004
-0.9338888,-9.608286,3.3610868
-1.2027555,-11.74103,3.3813958
-0.12674195,-1.5631043,3.2555678
-0.285784,-4.0340333,3.254482
-0.5195788,-6.455463,3.3448446
-0.6448867,-8.9577,3.4143834
-0.63770354,-8.576865,3.4288428
-0.8091936,-9.292001,3.412107
-0.77312565,-9.299841,3.4183269
-0.67867094,-9.3156395,3.4057865
-0.5471514,-8.412549,3.4569745
-0.567672,-9.472894,3.5251243
-0.2254097,-2.335835,3.2627635
-0.23447643,-4.5013614,3.224135
-0.36950132,-6.757929,3.2255304
-0.40503153,-7.1234636,3.2409399
-0.38670385,-8.6435,3.2028565
-0.4577941,-7.9899073,3.210949
-0.35669348,-6.822567,3.2672367
-0.2202467,-8.294155,3.281559
-0.1693916,-10.284242,3.2493594
-0.18467052,-10.952388,3.2516153
-0.2754952,-0.9858828,3.2690692
-0.30279937,-3.698616,3.2411754
-0.5212496,-7.5782657,3.2075458
-0.5483334,-9.457504,3.2079737
-0.41572407,-10.06005,3.2014391
-0.19582677,-11.268791,3.2433143
-0.06969145,-9.016287,3.4056153
-0.031195862,-6.171739,3.4605951
0.15293978,-5.0641403,3.4786813
0.21967375,-5.5459504,3.4952922
-0.10128957,-3.1300874,3.2218518
-0.18482551,-3.7797132,3.240264
-0.36586446,-6.101411,3.271199
-0.5562082,-7.519885,3.3096673
-0.41066572,-3.7750647,3.3967505
-0.4934796,-2.3141284,3.3872447
-0.638925,-2.1593263,3.3794918
-0.39247248,-1.4793019,3.4186182
-0.4796202,-1.1566128,3.384097
-0.39501137,-1.7960647,3.3710513
-0.114763364,0.36871713,3.2921154
0.03550251,3.0485332,3.344259
0.23442702,5.731946,3.3683324
0.21819468,5.993066,3.3345277
0.18895917,5.609289,3.3019345
0.10137063,5.503408,3.2478948
0.034187075,4.428013,3.2508163
-0.25642902,3.112928,3.1944427
-0.30718735,2.5049083,3.203142
-0.20649543,-1.624804,3.2715542
-0.1500006,-1.9099234,3.286474
-0.24110627,-2.0802455,3.303278
-0.15243082,-2.4322114,3.2901764
-0.0074397335,-2.979514,3.2580593
0.09372502,-4.0672483,3.3028953
0.1744417,-2.084633,3.344005
0.2311222,-2.4504304,3.394022
0.009110076,-3.3785264,3.3668687
-0.09089695,-4.178156,3.4039607
-0.22849056,-3.1059158,3.415012
-0.01100142,-1.3263295,3.288731
-0.20169553,-2.0478432,3.298947
-0.50470424,-2.3239899,3.2660751
-0.369843,-0.4013401,3.2626064
-0.29578793,1.1961026,3.3533397
-0.3318211,0.6396242,3.3432043
-0.46442682,-2.0601776,3.3277354
-0.437258,-2.2936413,3.3269267
-0.48414624,-2.4185185,3.3302057
-0.4871541,-1.7970326,3.3071663
-0.101175845,-3.0422869,3.2797627
-0.2555508,-4.1316743,3.2302103
-0.29099983,-4.2047553,3.2546406
-0.22652514,-4.3139763,3.2660666
-0.26010156,-6.8423176,3.2611337
-0.51053315,-8.725478,3.18747
-0.4291942,-8.240091,3.1185603
-0.3583986,-7.7412457,3.113264
-0.5555814,-10.595652,3.057619
-0.5315723,-13.517333,3.1066377
-0.03769518,-0.5396163,3.3087175
-0.05520555,-0.895153,3.3327363
-0.24061438,-1.5881066,3.4060686
-0.29782063,-0.701417,3.4211104
-0.37646067,-0.38520327,3.4956253
-0.41970807,-0.14933638,3.5741346
-0.37554818,-0.012079522,3.5464659
-0.34752157,-3.8166292,3.5324793
-0.34814763,-4.440696,3.4988794
-0.37609354,-4.3530364,3.4645374
-0.023317952,-1.664841,3.3498995
-0.35432857,-2.5924907,3.3462358
-0.6369582,-4.731051,3.303808
-0.6437858,-6.703059,3.269537
-0.5513566,-5.564353,3.2586288
-0.21359804,-4.0882473,3.2753963
-0.03728685,-3.1374218,3.3600028
-0.077010855,-3.961995,3.3274977
