time,value_temp,value_hum,value_acid,value_PV
2023-08-09 13:50:00+00:00,22.6,94.0,11.4,4.1
2023-08-09 14:00:00+00:00,23.3,95.0,11.4,4.1
2023-08-09 14:10:00+00:00,22.6,96.0,11.4,4.1
2023-08-09 14:20:00+00:00,21.7,96.0,11.4,5.5
2023-08-09 14:30:00+00:00,21.0,98.0,11.4,5.8
2023-08-09 14:40:00+00:00,20.0,99.0,11.4,5.4
2023-08-09 14:50:00+00:00,19.9,97.0,11.4,5.4
2023-08-09 15:00:00+00:00,20.2,97.5,11.4,5.5
2023-08-09 15:10:00+00:00,20.5,98.0,11.4,5.6
2023-08-09 15:20:00+00:00,20.5,97.0,11.4,4.7
2023-08-09 15:30:00+00:00,20.0,97.0,11.4,5.6
2023-08-09 15:40:00+00:00,20.6,96.0,11.4,4.7
2023-08-09 15:50:00+00:00,20.1,98.0,11.4,5.1
2023-08-09 16:00:00+00:00,19.8,98.0,11.4,4.7
2023-08-09 16:10:00+00:00,19.9,98.0,11.4,5.7
2023-08-09 16:20:00+00:00,19.9,99.0,11.4,5.7
2023-08-09 16:30:00+00:00,19.2,99.0,11.4,5.0
2023-08-09 16:40:00+00:00,18.1,100.0,11.4,4.4
2023-08-09 16:50:00+00:00,17.85,100.0,11.4,4.300000000000001
2023-08-09 17:00:00+00:00,17.6,100.0,11.4,4.2
2023-08-09 17:10:00+00:00,17.8,100.0,11.3,4.2
2023-08-09 17:20:00+00:00,17.6,100.0,11.4,5.0
2023-08-09 17:30:00+00:00,17.2,100.0,11.3,4.1
2023-08-09 17:40:00+00:00,17.5,100.0,11.3,4.7
2023-08-09 17:50:00+00:00,17.1,100.0,11.3,4.6
2023-08-09 18:00:00+00:00,16.9,100.0,11.3,4.0
2023-08-09 18:10:00+00:00,16.5,100.0,11.3,3.9
2023-08-09 18:20:00+00:00,16.4,100.0,11.3,3.6
2023-08-09 18:30:00+00:00,16.3,100.0,11.3,2.5
2023-08-09 18:40:00+00:00,16.200000000000003,100.0,11.3,2.1
2023-08-09 18:50:00+00:00,16.1,100.0,11.3,1.7
2023-08-09 19:00:00+00:00,16.0,100.0,11.3,1.0
2023-08-09 19:10:00+00:00,15.9,100.0,11.3,0.7
2023-08-09 19:20:00+00:00,15.838461538461539,100.0,11.3,0.6923076923076923
2023-08-09 19:30:00+00:00,15.776923076923078,100.0,11.3,0.6846153846153846
2023-08-09 19:40:00+00:00,15.715384615384616,100.0,11.3,0.6769230769230768
2023-08-09 19:50:00+00:00,15.653846153846153,100.0,11.3,0.6692307692307692
2023-08-09 20:00:00+00:00,15.592307692307692,100.0,11.3,0.6615384615384615
2023-08-09 20:10:00+00:00,15.53076923076923,100.0,11.3,0.6538461538461539
2023-08-09 20:20:00+00:00,15.46923076923077,100.0,11.3,0.6461538461538461
2023-08-09 20:30:00+00:00,15.407692307692308,100.0,11.3,0.6384615384615384
2023-08-09 20:40:00+00:00,15.346153846153847,100.0,11.3,0.6307692307692307
2023-08-09 20:50:00+00:00,15.284615384615385,100.0,11.3,0.6230769230769231
2023-08-09 21:00:00+00:00,15.223076923076922,100.0,11.3,0.6153846153846153
2023-08-09 21:10:00+00:00,15.161538461538461,100.0,11.3,0.6076923076923076
2023-08-09 21:20:00+00:00,15.1,100.0,11.3,0.6
2023-08-09 21:30:00+00:00,15.01,100.0,11.290000000000001,0.6
2023-08-09 21:40:00+00:00,14.92,100.0,11.280000000000001,0.6
