time,value_temp,value_hum,value_acid,value_PV,label
2023-05-03 02:10:00+00:00,9.0,59.0,7.4,0.9,0
2023-05-03 02:20:00+00:00,9.0,68.0,7.4,1.5,0
2023-05-03 02:30:00+00:00,9.0,72.0,7.4,2.4,0
2023-05-03 02:40:00+00:00,8.9,73.0,7.4,3.4,0
2023-05-03 02:50:00+00:00,11.969091973738303,74.0,7.4,3.4,1
2023-05-03 03:00:00+00:00,11.869091973738303,76.0,7.4,4.0,1
2023-05-03 03:10:00+00:00,11.869091973738303,74.0,7.4,4.0,1
2023-05-03 03:20:00+00:00,11.869091973738303,75.0,7.5,4.0,1
2023-05-03 03:30:00+00:00,11.869091973738303,74.0,7.5,4.0,1
2023-05-03 03:40:00+00:00,11.869091973738303,75.0,7.4,4.0,1
2023-05-03 03:50:00+00:00,11.869091973738303,76.0,7.4,4.0,1
2023-05-03 04:00:00+00:00,11.869091973738303,76.5,7.35,4.0,1
2023-05-03 04:10:00+00:00,11.869091973738303,77.0,7.3,4.0,1
2023-05-03 04:20:00+00:00,11.869091973738303,77.0,7.4,4.0,1
2023-05-03 04:30:00+00:00,11.869091973738303,74.0,7.4,4.0,1
2023-05-03 04:40:00+00:00,11.869091973738303,74.0,7.4,4.0,1
2023-05-03 04:50:00+00:00,11.869091973738303,73.0,7.4,4.0,1
2023-05-03 05:00:00+00:00,11.869091973738303,58.0,7.2,4.1,1
2023-05-03 05:10:00+00:00,11.869091973738303,58.0,7.0,4.0,1
2023-05-03 05:20:00+00:00,11.869091973738303,69.0,6.9,4.0,1
2023-05-03 05:30:00+00:00,11.969091973738303,70.0,6.8,4.0,1
2023-05-03 05:40:00+00:00,12.069091973738303,70.0,6.8,4.0,1
2023-05-03 05:50:00+00:00,12.069091973738303,69.0,6.7,4.0,1
2023-05-03 06:00:00+00:00,12.169091973738302,64.0,6.7,4.1,1
2023-05-03 06:10:00+00:00,12.369091973738303,67.0,6.7,4.1,1
2023-05-03 06:20:00+00:00,9.4,67.0,6.7,4.1,0
2023-05-03 06:30:00+00:00,9.5,68.0,6.6,5.4,0
2023-05-03 06:40:00+00:00,9.6,68.0,6.6,5.8,0
2023-05-03 06:50:00+00:00,9.8,67.0,6.6,5.9,0
2023-05-03 07:00:00+00:00,10.0,68.0,6.6,5.9,0
2023-05-03 07:10:00+00:00,10.1,65.0,6.5,6.0,0
2023-05-03 07:20:00+00:00,10.3,68.0,6.5,6.0,0
2023-05-03 07:30:00+00:00,10.6,65.0,6.4,6.0,0
2023-05-03 07:40:00+00:00,10.8,65.0,6.4,6.1,0
2023-05-03 07:50:00+00:00,11.0,64.0,6.3,6.0,0
2023-05-03 08:00:00+00:00,11.2,64.0,6.3,6.0,0
2023-05-03 08:10:00+00:00,11.5,64.0,6.2,6.0,0
2023-05-03 08:20:00+00:00,11.6,62.0,6.2,6.0,0
2023-05-03 08:30:00+00:00,11.9,60.0,6.1,6.1,0
2023-05-03 08:40:00+00:00,12.1,60.0,6.1,6.1,0
2023-05-03 08:50:00+00:00,12.3,59.0,6.1,6.1,0
2023-05-03 09:00:00+00:00,12.6,63.0,6.1,6.1,0
2023-05-03 09:10:00+00:00,12.8,52.0,6.1,6.1,0
2023-05-03 09:20:00+00:00,13.1,55.5,6.0,6.1,0
2023-05-03 09:30:00+00:00,13.4,58.0,6.0,6.1,0
2023-05-03 09:40:00+00:00,13.6,58.0,6.0,6.1,0
2023-05-03 09:50:00+00:00,13.8,58.0,6.0,5.8,0
2023-05-03 10:00:00+00:00,14.1,58.0,6.0,6.0,0
2023-05-03 10:10:00+00:00,14.2,57.0,6.0,6.0,0
2023-05-03 10:20:00+00:00,14.4,57.0,6.0,6.1,0
2023-05-03 10:30:00+00:00,14.5,59.0,6.0,5.0,0
2023-05-03 10:40:00+00:00,14.8,59.0,6.3,6.2,0
2023-05-03 10:50:00+00:00,15.0,61.0,6.2,6.1,0
2023-05-03 11:00:00+00:00,14.9,60.0,6.2,6.3,0
2023-05-03 11:10:00+00:00,15.2,60.0,6.6,6.1,0
2023-05-03 11:20:00+00:00,15.4,59.0,6.3,6.1,0
2023-05-03 11:30:00+00:00,15.6,58.0,6.3,6.1,0
2023-05-03 11:40:00+00:00,15.8,57.0,6.3,6.1,0
2023-05-03 11:50:00+00:00,15.6,60.0,6.4,6.1,0
2023-05-03 12:00:00+00:00,15.7,61.0,6.5,5.4,0
2023-05-03 12:10:00+00:00,15.6,60.0,6.7,6.1,0
2023-05-03 12:20:00+00:00,15.8,60.0,7.2,6.0,0
2023-05-03 12:30:00+00:00,15.6,63.0,7.1,5.8,0
2023-05-03 12:40:00+00:00,15.6,61.0,7.2,5.7,0
2023-05-03 12:50:00+00:00,15.5,61.0,7.1,4.0,0
2023-05-03 13:00:00+00:00,15.4,61.0,6.9,4.0,0
2023-05-03 13:10:00+00:00,15.3,54.0,6.9,4.0,0
2023-05-03 13:20:00+00:00,15.2,57.0,6.9,4.0,0
2023-05-03 13:30:00+00:00,15.15,59.5,6.95,4.0,0
2023-05-03 13:40:00+00:00,15.1,62.0,7.0,4.0,0
2023-05-03 13:50:00+00:00,15.0,59.0,6.9,4.0,0
2023-05-03 14:00:00+00:00,14.9,63.0,6.9,4.0,0
2023-05-03 14:10:00+00:00,14.8,61.0,6.9,4.0,0
2023-05-03 14:20:00+00:00,14.6,61.0,6.8,4.0,0
2023-05-03 14:30:00+00:00,14.6,57.0,6.8,4.0,0
2023-05-03 14:40:00+00:00,14.5,57.0,6.9,4.0,0
2023-05-03 14:50:00+00:00,14.4,63.0,6.9,4.0,0
2023-05-03 15:00:00+00:00,14.3,56.0,6.8,4.0,0
2023-05-03 15:10:00+00:00,14.2,57.0,6.8,4.0,0
2023-05-03 15:20:00+00:00,14.1,57.0,6.9,4.0,0
2023-05-03 15:30:00+00:00,14.0,57.0,6.9,4.0,0
2023-05-03 15:40:00+00:00,14.0,57.0,6.9,4.0,0
2023-05-03 15:50:00+00:00,13.8,57.0,6.9,4.0,0
2023-05-03 16:00:00+00:00,13.8,56.0,6.9,4.0,0
2023-05-03 16:10:00+00:00,13.6,57.0,6.9,4.0,0
2023-05-03 16:20:00+00:00,13.6,64.0,6.9,4.0,0
2023-05-03 16:30:00+00:00,13.5,63.0,6.9,4.0,0
2023-05-03 16:40:00+00:00,13.4,63.0,6.9,4.0,0
2023-05-03 16:50:00+00:00,13.3,57.0,6.9,4.0,0
2023-05-03 17:00:00+00:00,13.3,59.0,6.9,4.0,0
2023-05-03 17:10:00+00:00,13.1,54.0,6.9,4.0,0
2023-05-03 17:20:00+00:00,13.1,61.0,7.0,4.0,0
2023-05-03 17:30:00+00:00,13.0,58.0,7.0,4.0,0
2023-05-03 17:40:00+00:00,13.0,57.0,7.0,4.0,0
2023-05-03 17:50:00+00:00,12.8,60.0,7.0,4.0,0
2023-05-03 18:00:00+00:00,12.8,59.0,7.1,4.0,0
2023-05-03 18:10:00+00:00,12.7,63.0,7.1,4.0,0
2023-05-03 18:20:00+00:00,12.6,64.0,7.1,3.8,0
2023-05-03 18:30:00+00:00,12.5,59.0,7.1,3.7,0
2023-05-03 18:40:00+00:00,12.5,64.0,7.1,3.0,0
2023-05-03 18:50:00+00:00,12.4,64.0,7.1,1.8,0
2023-05-03 19:00:00+00:00,12.3,59.0,7.1,1.1,0
2023-05-03 19:10:00+00:00,12.2,59.0,7.2,0.8,0
2023-05-03 19:20:00+00:00,12.1,63.0,7.2,0.7,0
